Metric,Method,MetricForm,MetricForm_long,Group,Group_long,MetricDescription,MetricMethodDescription
T_Aquatic_KRich,Trap,QC,,Aquatic,,Number of taxa with known aquatic lifestages,Number of taxa with known aquatic lifestages in trap samples
T_Aquatic_Rich,Trap,Rich,Richness,Aquatic,aquatic arthropods,Richness of aquatic arthropods,Richness of aquatic arthropods in trap samples
T_Aquatic_RelRich,Trap,RelRich,Relative richness,Aquatic,aquatic arthropods,Relative richness of aquatic arthropods,Relative richness of aquatic arthropods in trap samples
T_Aquatic_KAbund,Trap,QC,,Aquatic,,Abundance of taxa with known aquatic lifestages,Abundance of taxa with known aquatic lifestages in trap samples
T_Aquatic_Abund,Trap,Abund,Abundance,Aquatic,aquatic arthropods,Abundance of aquatic arthropods,Abundance of aquatic arthropods in trap samples
T_Aquatic_RelAbund,Trap,RelAbund,Relative abundance,Aquatic,aquatic arthropods,Relative abundance of aquatic arthropods,Relative abundance of aquatic arthropods in trap samples
V_Aquatic_KRich,Veg,QC,,Aquatic,,Number of taxa with known aquatic lifestages,Number of taxa with known aquatic lifestages in veg samples
V_Aquatic_Rich,Veg,Rich,Richness,Aquatic,aquatic arthropods,Richness of aquatic arthropods,Richness of aquatic arthropods in veg samples
V_Aquatic_RelRich,Veg,RelRich,Relative richness,Aquatic,aquatic arthropods,Relative richness of aquatic arthropods,Relative richness of aquatic arthropods in veg samples
V_Aquatic_KAbund,Veg,QC,,Aquatic,,Abundance of taxa with known aquatic lifestages,Abundance of taxa with known aquatic lifestages in veg samples
V_Aquatic_Abund,Veg,Abund,Abundance,Aquatic,aquatic arthropods,Abundance of aquatic arthropods,Abundance of aquatic arthropods in veg samples
V_Aquatic_RelAbund,Veg,RelAbund,Relative abundance,Aquatic,aquatic arthropods,Relative abundance of aquatic arthropods,Relative abundance of aquatic arthropods in veg samples
T_Araneae_Rich,Trap,Rich,Richness,Araneae,spiders,Richness of spiders,Richness of spiders in trap samples
T_Araneae_RelRich,Trap,RelRich,Relative richness,Araneae,spiders,Relative richness of spiders,Relative richness of spiders in trap samples
T_Araneae_Abund,Trap,Abund,Abundance,Araneae,spiders,Abundance of spiders,Abundance of spiders in trap samples
T_Araneae_RelAbund,Trap,RelAbund,Relative abundance,Araneae,spiders,Relative abundance of spiders,Relative abundance of spiders in trap samples
V_Araneae_Rich,Veg,Rich,Richness,Araneae,spiders,Richness of spiders,Richness of spiders in veg samples
V_Araneae_RelRich,Veg,RelRich,Relative richness,Araneae,spiders,Relative richness of spiders,Relative richness of spiders in veg samples
V_Araneae_Abund,Veg,Abund,Abundance,Araneae,spiders,Abundance of spiders,Abundance of spiders in veg samples
V_Araneae_RelAbund,Veg,RelAbund,Relative abundance,Araneae,spiders,Relative abundance of spiders,Relative abundance of spiders in veg samples
T_Araneae_Nat_Rich,Trap,Rich,Richness,Araneae_Nat,"native, non-synanthropic spiders","Richness of native, non-synanthropic spiders","Richness of native, non-synanthropic spiders in trap samples"
T_Araneae_Nat_RelRich,Trap,RelRich,Relative richness,Araneae_Nat,"native, non-synanthropic spiders","Relative richness of native, non-synanthropic spiders","Relative richness of native, non-synanthropic spiders in trap samples"
T_Araneae_Nat_Abund,Trap,Abund,Abundance,Araneae_Nat,"native, non-synanthropic spiders","Abundance of native, non-synanthropic spiders","Abundance of native, non-synanthropic spiders in trap samples"
T_Araneae_Nat_RelAbund,Trap,RelAbund,Relative abundance,Araneae_Nat,"native, non-synanthropic spiders","Relative abundance of native, non-synanthropic spiders","Relative abundance of native, non-synanthropic spiders in trap samples"
V_Araneae_Nat_Rich,Veg,Rich,Richness,Araneae_Nat,"native, non-synanthropic spiders","Richness of native, non-synanthropic spiders","Richness of native, non-synanthropic spiders in veg samples"
V_Araneae_Nat_RelRich,Veg,RelRich,Relative richness,Araneae_Nat,"native, non-synanthropic spiders","Relative richness of native, non-synanthropic spiders","Relative richness of native, non-synanthropic spiders in veg samples"
V_Araneae_Nat_Abund,Veg,Abund,Abundance,Araneae_Nat,"native, non-synanthropic spiders","Abundance of native, non-synanthropic spiders","Abundance of native, non-synanthropic spiders in veg samples"
V_Araneae_Nat_RelAbund,Veg,RelAbund,Relative abundance,Araneae_Nat,"native, non-synanthropic spiders","Relative abundance of native, non-synanthropic spiders","Relative abundance of native, non-synanthropic spiders in veg samples"
T_Arboreal_Rich,Trap,Rich,Richness,Arboreal,arboreal arthopods,Richness of arboreal arthopods,Richness of arboreal arthopods in trap samples
T_Arboreal_RelRich,Trap,RelRich,Relative richness,Arboreal,arboreal arthopods,Relative richness of arboreal arthopods,Relative richness of arboreal arthopods in trap samples
T_Arboreal_Abund,Trap,Abund,Abundance,Arboreal,arboreal arthopods,Abundance of arboreal arthopods,Abundance of arboreal arthopods in trap samples
T_Arboreal_RelAbund,Trap,RelAbund,Relative abundance,Arboreal,arboreal arthopods,Relative abundance of arboreal arthopods,Relative abundance of arboreal arthopods in trap samples
V_Arboreal_Rich,Veg,Rich,Richness,Arboreal,arboreal arthopods,Richness of arboreal arthopods,Richness of arboreal arthopods in veg samples
V_Arboreal_RelRich,Veg,RelRich,Relative richness,Arboreal,arboreal arthopods,Relative richness of arboreal arthopods,Relative richness of arboreal arthopods in veg samples
V_Arboreal_Abund,Veg,Abund,Abundance,Arboreal,arboreal arthopods,Abundance of arboreal arthopods,Abundance of arboreal arthopods in veg samples
V_Arboreal_RelAbund,Veg,RelAbund,Relative abundance,Arboreal,arboreal arthopods,Relative abundance of arboreal arthopods,Relative abundance of arboreal arthopods in veg samples
T_Arth_Rich,Trap,Rich,Richness,Arth,arthropods,Richness of arthropods,Richness of arthropods in trap samples
T_Arth_Abund,Trap,Abund,Abundance,Arth,arthropods,Abundance of arthropods,Abundance of arthropods in trap samples
V_Arth_Rich,Veg,Rich,Richness,Arth,arthropods,Richness of arthropods,Richness of arthropods in veg samples
V_Arth_Abund,Veg,Abund,Abundance,Arth,arthropods,Abundance of arthropods,Abundance of arthropods in veg samples
T_BodySize_KRich,Trap,QC,,BodySize,,Number of taxa with known body size,Number of taxa with known body size in trap samples
T_BodySize_KAbund,Trap,QC,,BodySize,,Abundnace of taxa with known body size,Abundnace of taxa with known body size in trap samples
T_BodySizeLargest,Trap,Other,,BodySize,,Largest body size,Largest body size in trap samples
T_BodySizeAverage,Trap,Other,,BodySize,,Average body size,Average body size in trap samples
V_BodySize_KRich,Veg,QC,,BodySize,,Number of taxa with known body size,Number of taxa with known body size in veg samples
V_BodySize_KAbund,Veg,QC,,BodySize,,Abundnace of taxa with known body size,Abundnace of taxa with known body size in veg samples
V_BodySizeLargest,Veg,Other,,BodySize,,Largest body size,Largest body size in veg samples
V_BodySizeAverage,Veg,Other,,BodySize,,Average body size,Average body size in veg samples
T_BodySizeLarge_Rich,Trap,Rich,Richness,BodySizeLarge,arthropods with large (>16 mm) body size,Richness of arthropods with large (>16 mm) body size,Richness of arthropods with large (>16 mm) body size in trap samples
T_BodySizeLarge_RelRich,Trap,RelRich,Relative richness,BodySizeLarge,arthropods with large (>16 mm) body size,Relative richness of arthropods with large (>16 mm) body size,Relative richness of arthropods with large (>16 mm) body size in trap samples
T_BodySizeLarge_Abund,Trap,Abund,Abundance,BodySizeLarge,arthropods with large (>16 mm) body size,Abundance of arthropods with large (>16 mm) body size,Abundance of arthropods with large (>16 mm) body size in trap samples
T_BodySizeLarge_RelAbund,Trap,RelAbund,Relative abundance,BodySizeLarge,arthropods with large (>16 mm) body size,Relative abundance of arthropods with large (>16 mm) body size,Relative abundance of arthropods with large (>16 mm) body size in trap samples
V_BodySizeLarge_Rich,Veg,Rich,Richness,BodySizeLarge,arthropods with large (>16 mm) body size,Richness of arthropods with large (>16 mm) body size,Richness of arthropods with large (>16 mm) body size in veg samples
V_BodySizeLarge_RelRich,Veg,RelRich,Relative richness,BodySizeLarge,arthropods with large (>16 mm) body size,Relative richness of arthropods with large (>16 mm) body size,Relative richness of arthropods with large (>16 mm) body size in veg samples
V_BodySizeLarge_Abund,Veg,Abund,Abundance,BodySizeLarge,arthropods with large (>16 mm) body size,Abundance of arthropods with large (>16 mm) body size,Abundance of arthropods with large (>16 mm) body size in veg samples
V_BodySizeLarge_RelAbund,Veg,RelAbund,Relative abundance,BodySizeLarge,arthropods with large (>16 mm) body size,Relative abundance of arthropods with large (>16 mm) body size,Relative abundance of arthropods with large (>16 mm) body size in veg samples
T_BodySizeMedium_Rich,Trap,Rich,Richness,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Richness of arthropods with medium (9 to 16 mm) body size,Richness of arthropods with medium (9 to 16 mm) body size in trap samples
T_BodySizeMedium_RelRich,Trap,RelRich,Relative richness,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Relative richness of arthropods with medium (9 to 16 mm) body size,Relative richness of arthropods with medium (9 to 16 mm) body size in trap samples
T_BodySizeMedium_Abund,Trap,Abund,Abundance,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Abundance of arthropods with medium (9 to 16 mm) body size,Abundance of arthropods with medium (9 to 16 mm) body size in trap samples
