StationCode,SampleDate,Pct_WetHab,Pct_FastGHab,Pct_PoolGHab,Pct_VgInstream,Pct_VgWdChan,Pct_VgNwdChan,Pct_VgGrsChan,Pct_VgWdRip,Pct_VgNwdRip,Pct_VgGrsRip,Pct_VgChan,Pct_VgRip,Pct_VgWdTotal,Pct_VgNonWdTotal,Pct_VgGrsTotal,PCT_SAFN,SB_PT_D50,Pct_CbBlBr,HumanActivity_Ext,HumanActivity_Int,HumanActivity_Prox,HumanActivity_Prox_SWAMP,AnimalBurrow_Ext,AnimalBurrow_Int,AnimalBurrow_Prox,AnimalBurrow_Prox_SWAMP,AlgalMats_Ext,AlgalMats_Int,AlgalMats_Prox,AlgalMats_Prox_SWAMP,Burns_Ext,Burns_Int,Burns_Prox,Burns_Prox_SWAMP,DebrisSilt_Ext,DebrisSilt_Int,DebrisSilt_Prox,DebrisSilt_Prox_SWAMP,Salts_Ext,Salts_Int,Salts_Prox,Salts_Prox_SWAMP,NoxiousOdors_Ext,NoxiousOdors_Int,NoxiousOdors_Prox,NoxiousOdors_Prox_SWAMP,NutrientWater_Ext,NutrientWater_Int,NutrientWater_Prox,NutrientWater_Prox_SWAMP,XBKF_W,Mn_HydHght,Mn_CrossSect,Mn_MaxHydHght,XSLOPE
402COZYDL,7/10/2021,0,67.5,15,2,15,2.5,2.5,37.5,15,37.5,20,90,52.5,17.5,40,20,5.6,13.333,10,8,11,1.667,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5055555555555555,0.23551724137931035,0.39886666666666665,0.3211111111111111,11
402LONVAL,7/11/2021,0,77.5,15,4,0,15,15,87.5,37.5,37.5,30,162.5,87.5,52.5,52.5,37.778,8,26.667,17,14,19,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.327777777777778,0.1986206896551724,0.4409222222222222,0.2733333333333333,3.875
403CLWCYN,7/4/2021,0,115,0,2,15,62.5,37.5,15,62.5,62.5,115,140,30,125,100,62.222,1,11.111,11,9,18,4,1,1,4,1,2,3,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0444444444444445,0.12310344827586207,0.08197777777777777,0.1511111111111111,7.25
403KLEINE,7/5/2021,0,92.5,2.5,2,2.5,15,15,87.5,87.5,87.5,32.5,262.5,90,102.5,102.5,31.111,5.6,11.111,5,5,16,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1.5,0,0,0,0,0,0,0,0,1.5333333333333334,0.12620689655172415,0.14611111111111114,0.1811111111111111,4.25
403LACACR,7/14/2021,0,115,37.5,2,15,15,37.5,62.5,37.5,37.5,67.5,137.5,77.5,52.5,75,66.667,1,17.778,3,2,9,2.5,2,1,5,1.5,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3722222222222222,0.08103448275862069,0.06848888888888889,0.12000000000000001,5.5
403R4SFVC,7/23/2019,0,65,2.5,1,0,2.5,0,0,2.5,0,2.5,2.5,0,5,0,17.5,19.3,2.5,13,11,62,16.501,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.5,0,0,0,0,0,0,0,0,1.95875,0.07038461538461539,0.084605,0.13125,5.75
403R4SSCT,5/8/2019,0,100,2.5,1,2.5,0,0,2.5,0,0,2.5,2.5,5,0,0,14.286,32,25.714,4,4,9,2.5,1,1,4,1,0,0,0,0,3,3,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1625,0.08396153846153846,0.137495,0.1275,19.375
403R4SSCT,9/11/2018,0,80,2.5,5,37.5,87.5,0,37.5,0,0,125,37.5,75,87.5,0,12.5,45,32.5,9,9,21,4.5,1,1,5,1.5,0,0,0,0,3,3,5,1.5,1,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.2175,0.2023076923076923,0.1507575,0.2875,23.25
403S00028,6/26/2019,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,17.5,3,3,12,2.5,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.5,0,0,0,0,0,0,0,0,1.0225,0.06153846153846154,0.0425075,0.09125,5.1
403S00028,9/11/2018,0,75,2.5,5,15,15,0,37.5,15,37.5,30,90,52.5,30,37.5,55,1,32.5,3,3,10,3,1,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1.5,0,0,0,0,0,0,0,0,1.35125,0.19538461538461538,0.176905,0.2475,11.625
403TEXCYN,7/6/2021,0,77.5,2.5,2,2.5,15,15,15,37.5,62.5,32.5,115,17.5,52.5,77.5,46.667,4,15.556,12,12,19,4.001,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.261111111111111,0.12689655172413794,0.10303333333333334,0.1577777777777778,5.5
403UACAFH,7/13/2021,0,117.5,2.5,3,37.5,15,15,62.5,15,62.5,67.5,140,100,30,77.5,37.778,8,20,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1888888888888889,0.08931034482758621,0.06987777777777777,0.12777777777777777,6.571428571428571
404LUNADA,7/16/2021,2.5,117.5,15,2,15,15,15,37.5,15,37.5,45,90,52.5,30,52.5,26.667,22.6,26.667,13,10,23,5.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.561111111111111,0.19413793103448276,0.3393111111111111,0.48,2.875
404R4SASQ,7/23/2019,0,65,2.5,5,2.5,15,2.5,15,62.5,37.5,20,115,17.5,77.5,40,15,38.5,32.5,7,7,12,3.167,1,1,3,0.667,0,0,0,0,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94375,0.06769230769230769,0.0413375,0.09625,5.625
404R4SASQ,9/12/2018,0,105,37.5,4,15,87.5,37.5,37.5,15,87.5,140,140,52.5,102.5,125,30,180,65,5,2,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.73375,0.20923076923076925,0.3735875,0.31125,9.625
404R4SLVC,9/13/2018,37.5,115,15,4,15,62.5,2.5,37.5,15,37.5,80,90,52.5,77.5,40,42.5,5.6,37.5,25,22,31,7.167,0,0,0,0,3,2,5,1.5,0,0,0,0,0,0,0,0,3,2,5,1.5,0,0,0,0,0,0,0,0,4.865,0.25884615384615384,0.6533024999999999,0.36625,1.875
404SMMCON,7/8/2021,0,80,2.5,3,2.5,15,15,37.5,37.5,62.5,32.5,137.5,40,52.5,77.5,70,1,2.5,19,22,30,7.002000000000001,0,0,0,0,2,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3625,0.21884615384615386,0.19422499999999998,0.26125,2.9285714285714284
405R4SSDC,9/10/2019,0,102.5,2.5,3,15,15,15,37.5,15,15,45,67.5,52.5,30,30,25,64,52.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7125,0.16423076923076924,0.37779999999999997,0.25375,8
405R4STSC,9/10/2019,0,100,2.5,4,15,2.5,2.5,15,15,2.5,20,32.5,30,17.5,5,12.821,180,84.615,6,5,15,2.5,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1125,0.14384615384615385,0.1983,0.225,13.142857142857142
405SJHILL,7/15/2021,0,55,0,1,2.5,2.5,37.5,37.5,15,62.5,42.5,115,40,17.5,100,37.778,5.6,2.222,10,10,16,3.167,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5144444444444445,0.06689655172413793,0.021504444444444444,0.09,8.625
408ARYSIM,7/7/2021,0,90,0,2,15,2.5,2.5,62.5,62.5,87.5,20,212.5,77.5,65,90,55.556,1,4.444,19,21,26,5.168,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.088888888888889,0.1903448275862069,1.4768,0.2511111111111111,0.5
408GRIMES,7/9/2021,2.5,92.5,0,3,0,15,2.5,37.5,37.5,37.5,17.5,112.5,37.5,52.5,40,80,1,2.222,29,31,40,7.835,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8944444444444444,0.1893103448275862,0.24562222222222221,0.23666666666666666,2.8125
412SINGSP,7/12/2021,0,102.5,2.5,2,15,15,0,62.5,87.5,2.5,30,152.5,77.5,102.5,2.5,53.333,2,8.889,7,5,14,4,0,0,0,0,2,2,5,1.5,0,0,0,0,0,0,0,0,3,2,5,1.5,0,0,0,0,0,0,0,0,1.3555555555555556,0.12,0.12467777777777778,0.15777777777777777,4.125
801SANT1x,8/10/2017,0,90,15,2,15,2.5,15,37.5,2.5,37.5,32.5,77.5,52.5,5,52.5,11.111,22.6,20,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9944444444444445,0.13586206896551725,0.1686,0.1711111111111111,2.75
801SANT1x,8/16/2016,0,90,0,3,15,15,2.5,37.5,15,15,32.5,67.5,52.5,30,17.5,0,45,40,6,7,11,2.667,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4388888888888887,0.11982758620689656,0.1875277777777778,0.16111111111111112,4.6875
