StationCode,ReachStressMax,GIS_stress_Ode,RefStatusFinal
402COZYDL,1,0,Med
402LONVAL,1,2,High
403CLWCYN,1,0,Med
403KLEINE,1,0,Med
403LACACR,0,0,Low
403R4SFVC,2,1,High
403R4SSCT,1,0,Med
403S00028,0,0,Low
403TEXCYN,1,0,Med
403UACAFH,0,0,Low
404LUNADA,1,2,High
404R4SASQ,0,0,Low
404R4SLVC,2,1,High
404SMMCON,2,1,High
405R4SSDC,0,0,Low
405R4STSC,0,0,Low
405SJHILL,1,1,Med
408ARYSIM,2,1,High
408GRIMES,2,2,High
412SINGSP,1,0,Med
801SANT1x,2,NA,High
801SANT1X,NA,1,Med
801SHDCYN,0,1,Med
901AUDCRW,0,NA,Unknown
901AUDFOX,0,0,Low
901BELOLV,0,NA,Unknown
901EMRCYN,0,0,Low
901LAUREL,0,1,Med
901NP9BWR,0,0,Low
901NP9CSC,0,0,Low
901NP9LCC,0,NA,Unknown
901NP9MRC,0,NA,Unknown
901NP9TNC,1,0,Med
901SJLANV,0,NA,Unknown
901SJMS1x,0,NA,Unknown
901SJOF1x,0,NA,Unknown
901SJVERD,0,0,Low
901TCTCR,2,NA,High
901UNTLCC,0,1,Med
901UPRAC1,2,2,High
902DPCCT,0,0,Low
902DPUCC1,0,0,Low
902DPUCC2,0,0,Low
902LNGCYN,2,2,High
902NP9CWC,0,NA,Unknown
902PECHNG,0,NA,Unknown
902SGCGKR,2,2,High
902SMAS1x,0,NA,Unknown
902SMAS2x,0,0,Low
902UDLVGR,1,1,Med
902UPPWSC,2,1,High
902USGCBS,2,1,High
902WRMSPC,1,2,High
903ACPCT1,0,NA,Unknown
903CVPCT,0,NA,Unknown
903DPUEFS,0,0,Low
903DPUWF1,0,0,Low
903NP9PRC,0,0,Low
903NP9SLR,0,NA,Unknown
903SLFRCx,1,1,Med
903UTLSLR,2,2,High
903UTMSLR,2,1,High
904ESCELN,2,NA,High
904SAXONY,2,1,High
904UNTEC3,2,1,High
904UNTSE1,1,1,Med
904UNTSE2,0,2,High
905DGCC1x,0,NA,Unknown
905DGCC2x,0,NA,Unknown
905DGSY1x,1,NA,Med
905SDBDN9,1,0,Med
905SMCRAM,2,1,High
905UNTGVC,2,2,High
906SLCFGC,0,2,High
906UNTLPE,2,1,High
906UNTSC1,2,2,High
906UNTSC2,0,2,High
906UNTTC4,1,2,High
906UNTTC6,2,2,High
906UNTTC7,1,2,High
906UNTTC8,2,2,High
906UPCAKS,2,1,High
907DPFMUS,1,0,Med
907NP9KLC,1,NA,Med
907NP9OSD,0,NA,Unknown
907NP9OSU,2,0,High
907SDT163,1,2,High
907SDTJHN,2,2,High
907SRSD1x,0,0,Low
907SYCAM,0,NA,Unknown
907UNAACR,2,2,High
907UNTFC1,2,2,High
907UNTPCD,2,2,High
907UTSVC1,2,1,High
907UTSVC2,1,1,Med
907UTSVC3,2,1,High
908CCAEA1,2,2,High
908CHI805,2,2,High
908LCCAWM,2,2,High
908NFCDDR,2,2,High
908PVCDST,2,2,High
908PVCUPP,2,2,High
908SFCCAB,2,2,High
908SSCBD1,1,2,High
908UNTCC1,2,2,High
908UNTCC2,2,2,High
908UTSFC1,2,2,High
908UTSFC2,2,2,High
909UNTSWR,2,2,High
910DENNRY,0,1,Med
910DPUSCT,1,0,Med
910NP9ARP,0,NA,Unknown
910NP9CCN,0,NA,Unknown
910NP9RJT,1,NA,Med
910SYCAM,0,NA,Unknown
910UNTMAB,2,2,High
911DPCMCC,0,0,Low
911DPNMCC,0,0,Low
911DPUCC5,0,0,Low
911DPULCC,0,0,Low
911DPUPV2,0,0,Low
911GSCAPV,0,0,Low
911NP9ATC,0,0,Low
911NP9EPC,0,NA,Unknown
911NP9HTC,0,NA,Unknown
911NP9UCW,0,NA,Unknown
911S00858,0,1,Med
911S01142,0,0,Low
911TJKC1x,0,NA,Unknown
911TJPC2x,2,1,High
